primal/generic/atomic/int8/add/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 482741     ticks  ~ 48 ms
primal/generic/atomic/int8/add/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 706399     ticks  ~ 70 ms
primal/generic/atomic/int8/add/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 929973     ticks  ~ 92 ms
primal/direct/atomic/uint16/add/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 213632     ticks  ~ 21 ms
primal/direct/atomic/uint16/add/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 633474     ticks  ~ 63 ms
primal/direct/atomic/uint16/add/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 859503     ticks  ~ 85 ms
primal/direct/atomic/uint16/add/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1360769    ticks  ~ 136 ms
primal/generic/atomic/uint16/add/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 243192     ticks  ~ 24 ms
primal/generic/atomic/uint16/add/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 485929     ticks  ~ 48 ms
primal/generic/atomic/uint16/add/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 734392     ticks  ~ 73 ms
primal/generic/atomic/uint16/add/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 975868     ticks  ~ 97 ms
primal/direct/atomic/uint32/add/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 247389     ticks  ~ 24 ms
primal/direct/atomic/uint32/add/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 476201     ticks  ~ 47 ms
primal/direct/atomic/uint32/add/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 705078     ticks  ~ 70 ms
primal/direct/atomic/uint32/add/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 932966     ticks  ~ 93 ms
primal/generic/atomic/uint32/add/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 248342     ticks  ~ 24 ms
primal/generic/atomic/uint32/add/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 483388     ticks  ~ 48 ms
primal/generic/atomic/uint32/add/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 694947     ticks  ~ 69 ms
primal/generic/atomic/uint32/add/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 905960     ticks  ~ 90 ms
primal/direct/atomic/uint64/add/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 219640     ticks  ~ 21 ms
primal/direct/atomic/uint64/add/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 442465     ticks  ~ 44 ms
primal/direct/atomic/uint64/add/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 660143     ticks  ~ 66 ms
primal/direct/atomic/uint64/add/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 887416     ticks  ~ 88 ms
primal/generic/atomic/uint64/add/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 228095     ticks  ~ 22 ms
primal/generic/atomic/uint64/add/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 447311     ticks  ~ 44 ms
primal/generic/atomic/uint64/add/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 672624     ticks  ~ 67 ms
primal/generic/atomic/uint64/add/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 889208     ticks  ~ 88 ms
primal/direct/atomic/uint8/add/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 217776     ticks  ~ 21 ms
primal/direct/atomic/uint8/add/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 436376     ticks  ~ 43 ms
primal/direct/atomic/uint8/add/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 658993     ticks  ~ 65 ms
primal/direct/atomic/uint8/add/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 879500     ticks  ~ 87 ms
primal/generic/atomic/uint8/add/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 244072     ticks  ~ 24 ms
primal/generic/atomic/uint8/add/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 488502     ticks  ~ 48 ms
primal/generic/atomic/uint8/add/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 785384     ticks  ~ 78 ms
primal/generic/atomic/uint8/add/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1116736    ticks  ~ 111 ms
primal/direct/atomic/int16/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 213737     ticks  ~ 21 ms
primal/direct/atomic/int16/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 428793     ticks  ~ 42 ms
primal/direct/atomic/int16/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 643535     ticks  ~ 64 ms
primal/direct/atomic/int16/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 858639     ticks  ~ 85 ms
primal/generic/atomic/int16/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 226508     ticks  ~ 22 ms
primal/generic/atomic/int16/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 494044     ticks  ~ 49 ms
primal/generic/atomic/int16/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 733300     ticks  ~ 73 ms
primal/generic/atomic/int16/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1006457    ticks  ~ 100 ms
primal/direct/atomic/int32/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 225126     ticks  ~ 22 ms
primal/direct/atomic/int32/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 515583     ticks  ~ 51 ms
primal/direct/atomic/int32/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 759331     ticks  ~ 75 ms
primal/direct/atomic/int32/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1067965    ticks  ~ 106 ms
primal/generic/atomic/int32/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 209511     ticks  ~ 20 ms
primal/generic/atomic/int32/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 419852     ticks  ~ 41 ms
primal/generic/atomic/int32/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 632594     ticks  ~ 63 ms
primal/generic/atomic/int32/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 942414     ticks  ~ 94 ms
primal/direct/atomic/int64/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 218878     ticks  ~ 21 ms
primal/direct/atomic/int64/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 436765     ticks  ~ 43 ms
primal/direct/atomic/int64/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 662473     ticks  ~ 66 ms
primal/direct/atomic/int64/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 887858     ticks  ~ 88 ms
primal/generic/atomic/int64/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 299937     ticks  ~ 29 ms
primal/generic/atomic/int64/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 523305     ticks  ~ 52 ms
primal/generic/atomic/int64/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 853919     ticks  ~ 85 ms
primal/generic/atomic/int64/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1069537    ticks  ~ 106 ms
primal/direct/atomic/int8/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 217871     ticks  ~ 21 ms
primal/direct/atomic/int8/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 431001     ticks  ~ 43 ms
primal/direct/atomic/int8/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 646442     ticks  ~ 64 ms
primal/direct/atomic/int8/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 878216     ticks  ~ 87 ms
primal/generic/atomic/int8/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 239308     ticks  ~ 23 ms
primal/generic/atomic/int8/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 464486     ticks  ~ 46 ms
primal/generic/atomic/int8/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 689403     ticks  ~ 68 ms
primal/generic/atomic/int8/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 915091     ticks  ~ 91 ms
primal/direct/atomic/uint16/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 214059     ticks  ~ 21 ms
primal/direct/atomic/uint16/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 432190     ticks  ~ 43 ms
primal/direct/atomic/uint16/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 648434     ticks  ~ 64 ms
primal/direct/atomic/uint16/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 863286     ticks  ~ 86 ms
primal/generic/atomic/uint16/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 313214     ticks  ~ 31 ms
primal/generic/atomic/uint16/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 688149     ticks  ~ 68 ms
primal/generic/atomic/uint16/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1063579    ticks  ~ 106 ms
primal/generic/atomic/uint16/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1433871    ticks  ~ 143 ms
primal/direct/atomic/uint32/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 329361     ticks  ~ 32 ms
primal/direct/atomic/uint32/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 659659     ticks  ~ 65 ms
primal/direct/atomic/uint32/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 993437     ticks  ~ 99 ms
primal/direct/atomic/uint32/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1327321    ticks  ~ 132 ms
primal/generic/atomic/uint32/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 294364     ticks  ~ 29 ms
primal/generic/atomic/uint32/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 584467     ticks  ~ 58 ms
primal/generic/atomic/uint32/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 833458     ticks  ~ 83 ms
primal/generic/atomic/uint32/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1044746    ticks  ~ 104 ms
primal/direct/atomic/uint64/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 217524     ticks  ~ 21 ms
primal/direct/atomic/uint64/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 433008     ticks  ~ 43 ms
primal/direct/atomic/uint64/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 647961     ticks  ~ 64 ms
primal/direct/atomic/uint64/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 862248     ticks  ~ 86 ms
primal/generic/atomic/uint64/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 251174     ticks  ~ 25 ms
primal/generic/atomic/uint64/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 598695     ticks  ~ 59 ms
primal/generic/atomic/uint64/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 807345     ticks  ~ 80 ms
primal/generic/atomic/uint64/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1018557    ticks  ~ 101 ms
primal/direct/atomic/uint8/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 217755     ticks  ~ 21 ms
primal/direct/atomic/uint8/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 429026     ticks  ~ 42 ms
primal/direct/atomic/uint8/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 641733     ticks  ~ 64 ms
primal/direct/atomic/uint8/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 857853     ticks  ~ 85 ms
