LeftOp,RightOp,OpCount,LeftTime,RightTime,Ratio
dprim/atomic/togglebit/int8,                      gprim/atomic/togglebit/int8,                      67108864,     186 ms,       173 ms,       1.0757
dprim/atomic/togglebit/uint8,                     gprim/atomic/togglebit/uint8,                     67108864,     165 ms,       161 ms,       1.0262
dprim/atomic/togglebit/int16,                     gprim/atomic/togglebit/int16,                     67108864,     162 ms,       197 ms,       0.8225
dprim/atomic/togglebit/uint16,                    gprim/atomic/togglebit/uint16,                    67108864,     146 ms,       156 ms,       0.9351
dprim/atomic/togglebit/int32,                     gprim/atomic/togglebit/int32,                     67108864,     153 ms,       143 ms,       1.0712
dprim/atomic/togglebit/uint32,                    gprim/atomic/togglebit/uint32,                    67108864,     178 ms,       156 ms,       1.1441
dprim/atomic/togglebit/int64,                     gprim/atomic/togglebit/int64,                     67108864,     139 ms,       158 ms,       0.8828
dprim/atomic/togglebit/uint64,                    gprim/atomic/togglebit/uint64,                    67108864,     221 ms,       152 ms,       1.4571
dprim/atomic/pop/int8,                            gprim/atomic/pop/int8,                            67108864,     146 ms,       164 ms,       0.8903
dprim/atomic/pop/uint8,                           gprim/atomic/pop/uint8,                           67108864,     137 ms,       205 ms,       0.6699
dprim/atomic/pop/int16,                           gprim/atomic/pop/int16,                           67108864,     152 ms,       157 ms,       0.9721
dprim/atomic/pop/uint16,                          gprim/atomic/pop/uint16,                          67108864,     158 ms,       151 ms,       1.0477
dprim/atomic/pop/int32,                           gprim/atomic/pop/int32,                           67108864,     172 ms,       214 ms,       0.8017
dprim/atomic/pop/uint32,                          gprim/atomic/pop/uint32,                          67108864,     157 ms,       158 ms,       0.9987
dprim/atomic/pop/int64,                           gprim/atomic/pop/int64,                           67108864,     159 ms,       170 ms,       0.9345
dprim/atomic/pop/int64,                           gprim/atomic/pop/uint64,                          67108864,     160 ms,       144 ms,       1.1101
