LeftOp,RightOp,OpCount,LeftTime,RightTime,Ratio
dprim/atomic/add/float32,                         numg/atomic/add/float32,                          134217728,    264 ms,       288 ms,       0.9169
dprim/atomic/add/float64,                         numg/atomic/add/float64,                          134217728,    252 ms,       294 ms,       0.8577
dprim/atomic/add/int64,                           numg/atomic/add/int64,                            134217728,    345 ms,       228 ms,       1.5086
dprim/atomic/mul/float32,                         numg/atomic/mul/float32,                          134217728,    260 ms,       287 ms,       0.9033
dprim/atomic/mul/float64,                         numg/atomic/mul/float64,                          134217728,    263 ms,       312 ms,       0.8425
dprim/atomic/mul/int64,                           numg/atomic/mul/int64,                            134217728,    282 ms,       218 ms,       1.2899
dprim/atomic/sub/float32,                         numg/atomic/sub/float32,                          134217728,    298 ms,       286 ms,       1.0444
dprim/atomic/sub/float64,                         numg/atomic/sub/float64,                          134217728,    260 ms,       317 ms,       0.8202
dprim/atomic/sub/int64,                           numg/atomic/sub/int64,                            134217728,    299 ms,       243 ms,       1.2293
