LeftOpUri,RightOpUri,LeftOpCount,RightOpCount,LeftWorkTime,RightWorkTime,PerformanceRatio
primal/direct/atomic/int64/inc/baseline,          primal/generic/atomic/int64/inc/benchmark,        33554432,   33554432,   64,     74,     0.8724
primal/direct/atomic/int8/inc/baseline,           primal/generic/atomic/int8/inc/benchmark,         33554432,   33554432,   64,     82,     0.7769
primal/direct/atomic/uint16/inc/baseline,         primal/generic/atomic/uint16/inc/benchmark,       33554432,   33554432,   66,     81,     0.8157
primal/direct/atomic/uint32/inc/baseline,         primal/generic/atomic/uint32/inc/benchmark,       33554432,   33554432,   64,     82,     0.7886
primal/direct/atomic/uint64/inc/baseline,         primal/generic/atomic/uint64/inc/benchmark,       33554432,   33554432,   64,     79,     0.8149
primal/direct/atomic/uint8/inc/baseline,          primal/generic/atomic/uint8/inc/benchmark,        33554432,   33554432,   63,     82,     0.7728
primal/direct/atomic/float32/lteq/baseline,       primal/generic/atomic/float32/lteq/benchmark,     33554432,   33554432,   95,     102,    0.9321
primal/direct/atomic/float64/lteq/baseline,       primal/generic/atomic/float64/lteq/benchmark,     33554432,   33554432,   92,     105,    0.8765
primal/direct/atomic/int16/lteq/baseline,         primal/generic/atomic/int16/lteq/benchmark,       33554432,   33554432,   97,     113,    0.8617
primal/direct/atomic/int32/lteq/baseline,         primal/generic/atomic/int32/lteq/benchmark,       33554432,   33554432,   94,     102,    0.9273
primal/direct/atomic/int64/lteq/baseline,         primal/generic/atomic/int64/lteq/benchmark,       33554432,   33554432,   97,     89,     1.0823
primal/direct/atomic/int8/add/baseline,           primal/generic/atomic/int8/add/benchmark,         33554432,   33554432,   94,     109,    0.8633
primal/direct/atomic/uint16/lteq/baseline,        primal/generic/atomic/uint16/lteq/benchmark,      33554432,   33554432,   96,     91,     1.0529
primal/direct/atomic/uint32/lteq/baseline,        primal/generic/atomic/uint32/lteq/benchmark,      33554432,   33554432,   91,     106,    0.8662
primal/direct/atomic/uint64/lteq/baseline,        primal/generic/atomic/uint64/lteq/benchmark,      33554432,   33554432,   102,    98,     1.0406
primal/direct/atomic/uint8/lteq/baseline,         primal/generic/atomic/uint8/lteq/benchmark,       33554432,   33554432,   107,    100,    1.061
primal/direct/atomic/float32/lt/baseline,         primal/generic/atomic/float32/lt/benchmark,       33554432,   33554432,   106,    109,    0.9703
primal/direct/atomic/float64/lt/baseline,         primal/generic/atomic/float64/lt/benchmark,       33554432,   33554432,   100,    102,    0.9746
primal/direct/atomic/int16/lt/baseline,           primal/generic/atomic/int16/lt/benchmark,         33554432,   33554432,   104,    97,     1.0683
primal/direct/atomic/int32/lt/baseline,           primal/generic/atomic/int32/lt/benchmark,         33554432,   33554432,   109,    95,     1.1417
primal/direct/atomic/int64/lt/baseline,           primal/generic/atomic/int64/lt/benchmark,         33554432,   33554432,   107,    92,     1.1651
primal/direct/atomic/int8/add/baseline,           primal/generic/atomic/int8/add/benchmark,         33554432,   33554432,   101,    99,     1.0208
primal/direct/atomic/uint16/lt/baseline,          primal/generic/atomic/uint16/lt/benchmark,        33554432,   33554432,   94,     97,     0.9716
primal/direct/atomic/uint32/lt/baseline,          primal/generic/atomic/uint32/lt/benchmark,        33554432,   33554432,   99,     99,     1.005
primal/direct/atomic/uint64/lt/baseline,          primal/generic/atomic/uint64/lt/benchmark,        33554432,   33554432,   97,     89,     1.086
primal/direct/atomic/uint8/lt/baseline,           primal/generic/atomic/uint8/lt/benchmark,         33554432,   33554432,   98,     94,     1.0399
primal/direct/atomic/float32/mod/baseline,        primal/generic/atomic/float32/mod/benchmark,      33554432,   33554432,   871,    963,    0.9044
primal/direct/atomic/float64/mod/baseline,        primal/generic/atomic/float64/mod/benchmark,      33554432,   33554432,   921,    873,    1.0549
primal/direct/atomic/int16/mod/baseline,          primal/generic/atomic/int16/mod/benchmark,        33554432,   33554432,   135,    169,    0.8004
primal/direct/atomic/int32/mod/baseline,          primal/generic/atomic/int32/mod/benchmark,        33554432,   33554432,   134,    158,    0.8492
primal/direct/atomic/int64/mod/baseline,          primal/generic/atomic/int64/mod/benchmark,        33554432,   33554432,   335,    335,    1.0003
primal/direct/atomic/int8/mod/baseline,           primal/generic/atomic/int8/mod/benchmark,         33554432,   33554432,   135,    160,    0.8456
primal/direct/atomic/uint16/mod/baseline,         primal/generic/atomic/uint16/mod/benchmark,       33554432,   33554432,   145,    216,    0.672
primal/direct/atomic/uint32/mod/baseline,         primal/generic/atomic/uint32/mod/benchmark,       33554432,   33554432,   181,    201,    0.899
primal/direct/atomic/uint64/mod/baseline,         primal/generic/atomic/uint64/mod/benchmark,       33554432,   33554432,   308,    331,    0.9309
primal/direct/atomic/uint8/mod/baseline,          primal/generic/atomic/uint8/mod/benchmark,        33554432,   33554432,   135,    194,    0.6991
primal/direct/atomic/float32/mul/baseline,        primal/generic/atomic/float32/mul/benchmark,      33554432,   33554432,   103,    101,    1.0288
primal/direct/atomic/float64/mul/baseline,        primal/generic/atomic/float64/mul/benchmark,      33554432,   33554432,   94,     103,    0.9138
primal/direct/atomic/int16/mul/baseline,          primal/generic/atomic/int16/mul/benchmark,        33554432,   33554432,   97,     103,    0.9478
primal/direct/atomic/int32/mul/baseline,          primal/generic/atomic/int32/mul/benchmark,        33554432,   33554432,   95,     94,     1.0098
primal/direct/atomic/int64/mul/baseline,          primal/generic/atomic/int64/mul/benchmark,        33554432,   33554432,   101,    92,     1.0963
primal/direct/atomic/int8/mul/baseline,           primal/generic/atomic/int8/mul/benchmark,         33554432,   33554432,   93,     94,     0.9953
primal/direct/atomic/uint16/mul/baseline,         primal/generic/atomic/uint16/mul/benchmark,       33554432,   33554432,   94,     97,     0.964
primal/direct/atomic/uint32/mul/baseline,         primal/generic/atomic/uint32/mul/benchmark,       33554432,   33554432,   116,    96,     1.2138
primal/direct/atomic/uint64/mul/baseline,         primal/generic/atomic/uint64/mul/benchmark,       33554432,   33554432,   93,     89,     1.0403
primal/direct/atomic/uint8/mul/baseline,          primal/generic/atomic/uint8/mul/benchmark,        33554432,   33554432,   95,     102,    0.9288
primal/direct/atomic/int16/or/baseline,           primal/generic/atomic/int16/or/benchmark,         33554432,   33554432,   92,     96,     0.953
primal/direct/atomic/int32/or/baseline,           primal/generic/atomic/int32/or/benchmark,         33554432,   33554432,   91,     99,     0.924
primal/direct/atomic/int64/or/baseline,           primal/generic/atomic/int64/or/benchmark,         33554432,   33554432,   96,     99,     0.9693
primal/direct/atomic/int8/or/baseline,            primal/generic/atomic/int8/or/benchmark,          33554432,   33554432,   98,     99,     0.9828
primal/direct/atomic/uint16/or/baseline,          primal/generic/atomic/uint16/or/benchmark,        33554432,   33554432,   106,    97,     1.0949
primal/direct/atomic/uint32/or/baseline,          primal/generic/atomic/uint32/or/benchmark,        33554432,   33554432,   97,     90,     1.0785
primal/direct/atomic/uint64/or/baseline,          primal/generic/atomic/uint64/or/benchmark,        33554432,   33554432,   94,     108,    0.8712
primal/direct/atomic/uint8/or/baseline,           primal/generic/atomic/uint8/or/benchmark,         33554432,   33554432,   94,     119,    0.7872
primal/direct/atomic/float32/sub/baseline,        primal/generic/atomic/float32/sub/benchmark,      33554432,   33554432,   103,    91,     1.126
primal/direct/atomic/float64/sub/baseline,        primal/generic/atomic/float64/sub/benchmark,      33554432,   33554432,   104,    102,    1.0188
primal/direct/atomic/int16/sub/baseline,          primal/generic/atomic/int16/sub/benchmark,        33554432,   33554432,   94,     98,     0.9603
primal/direct/atomic/int32/sub/baseline,          primal/generic/atomic/int32/sub/benchmark,        33554432,   33554432,   90,     97,     0.9323
primal/direct/atomic/int64/sub/baseline,          primal/generic/atomic/int64/sub/benchmark,        33554432,   33554432,   97,     105,    0.9163
primal/direct/atomic/int8/sub/baseline,           primal/generic/atomic/int8/sub/benchmark,         33554432,   33554432,   94,     98,     0.9658
primal/direct/atomic/uint16/sub/baseline,         primal/generic/atomic/uint16/sub/benchmark,       33554432,   33554432,   95,     90,     1.0547
primal/direct/atomic/uint32/sub/baseline,         primal/generic/atomic/uint32/sub/benchmark,       33554432,   33554432,   96,     90,     1.0678
primal/direct/atomic/uint64/sub/baseline,         primal/generic/atomic/uint64/sub/benchmark,       33554432,   33554432,   105,    92,     1.142
primal/direct/atomic/uint8/sub/baseline,          primal/generic/atomic/uint8/sub/benchmark,        33554432,   33554432,   95,     92,     1.0308
primal/direct/atomic/int16/xor/baseline,          primal/generic/atomic/int16/xor/benchmark,        33554432,   33554432,   92,     100,    0.9271
primal/direct/atomic/int32/xor/baseline,          primal/generic/atomic/int32/xor/benchmark,        33554432,   33554432,   103,    107,    0.9679
primal/direct/atomic/int64/xor/baseline,          primal/generic/atomic/int64/xor/benchmark,        33554432,   33554432,   90,     106,    0.8494
primal/direct/atomic/int8/xor/baseline,           primal/generic/atomic/int8/xor/benchmark,         33554432,   33554432,   95,     91,     1.04
primal/direct/atomic/uint16/xor/baseline,         primal/generic/atomic/uint16/xor/benchmark,       33554432,   33554432,   89,     94,     0.9485
primal/direct/atomic/uint32/xor/baseline,         primal/generic/atomic/uint32/xor/benchmark,       33554432,   33554432,   89,     95,     0.9395
primal/direct/atomic/uint64/xor/baseline,         primal/generic/atomic/uint64/xor/benchmark,       33554432,   33554432,   108,    105,    1.028
primal/direct/atomic/uint8/xor/baseline,          primal/generic/atomic/uint8/xor/benchmark,        33554432,   33554432,   92,     106,    0.869
