LeftOp,RightOp,OpCount,LeftTime,RightTime,Ratio
primd/atomic/add/int8,                            primg/atomic/add/int8,                            268435456,    580 ms,       626 ms,       0.9273
primd/atomic/add/uint8,                           primg/atomic/add/uint8,                           268435456,    587 ms,       557 ms,       1.0533
primd/atomic/add/int16,                           primg/atomic/add/int16,                           268435456,    570 ms,       595 ms,       0.9584
primd/atomic/add/uint16,                          primg/atomic/add/uint16,                          268435456,    533 ms,       614 ms,       0.8669
primd/atomic/add/int32,                           primg/atomic/add/int32,                           268435456,    619 ms,       532 ms,       1.1622
primd/atomic/add/uint32,                          primg/atomic/add/uint32,                          268435456,    580 ms,       538 ms,       1.0776
primd/atomic/add/int64,                           primg/atomic/add/int64,                           268435456,    561 ms,       551 ms,       1.0197
primd/atomic/add/uint64,                          primg/atomic/add/uint64,                          268435456,    613 ms,       564 ms,       1.0865
primd/atomic/add/float32,                         primg/atomic/add/float32,                         268435456,    541 ms,       570 ms,       0.9484
primd/atomic/add/float64,                         primg/atomic/add/float64,                         268435456,    582 ms,       584 ms,       0.9964
primd/atomic/sub/int8,                            primg/atomic/sub/int8,                            268435456,    603 ms,       592 ms,       1.018
primd/atomic/sub/uint8,                           primg/atomic/sub/uint8,                           268435456,    580 ms,       606 ms,       0.9571
primd/atomic/sub/int16,                           primg/atomic/sub/int16,                           268435456,    624 ms,       554 ms,       1.127
primd/atomic/sub/uint16,                          primg/atomic/sub/uint16,                          268435456,    593 ms,       599 ms,       0.99
primd/atomic/sub/int32,                           primg/atomic/sub/int32,                           268435456,    538 ms,       583 ms,       0.9233
primd/atomic/sub/uint32,                          primg/atomic/sub/uint32,                          268435456,    615 ms,       615 ms,       0.9998
primd/atomic/sub/int64,                           primg/atomic/sub/int64,                           268435456,    588 ms,       513 ms,       1.1453
primd/atomic/sub/uint64,                          primg/atomic/sub/uint64,                          268435456,    611 ms,       574 ms,       1.0643
primd/atomic/sub/float32,                         primg/atomic/sub/float32,                         268435456,    583 ms,       564 ms,       1.0334
primd/atomic/sub/float64,                         primg/atomic/sub/float64,                         268435456,    575 ms,       572 ms,       1.0044
primd/atomic/mul/int8,                            primg/atomic/mul/int8,                            268435456,    576 ms,       606 ms,       0.9508
primd/atomic/mul/uint8,                           primg/atomic/mul/uint8,                           268435456,    596 ms,       629 ms,       0.9468
primd/atomic/mul/int16,                           primg/atomic/mul/int16,                           268435456,    576 ms,       595 ms,       0.9671
primd/atomic/mul/uint16,                          primg/atomic/mul/uint16,                          268435456,    545 ms,       647 ms,       0.8433
primd/atomic/mul/int32,                           primg/atomic/mul/int32,                           268435456,    627 ms,       529 ms,       1.1852
primd/atomic/mul/uint32,                          primg/atomic/mul/uint32,                          268435456,    646 ms,       582 ms,       1.1105
primd/atomic/mul/int64,                           primg/atomic/mul/int64,                           268435456,    623 ms,       640 ms,       0.973
primd/atomic/mul/uint64,                          primg/atomic/mul/uint64,                          268435456,    578 ms,       628 ms,       0.9199
primd/atomic/mul/float32,                         primg/atomic/mul/float32,                         268435456,    582 ms,       517 ms,       1.1249
primd/atomic/mul/float64,                         primg/atomic/mul/float64,                         268435456,    658 ms,       577 ms,       1.1407
primd/atomic/div/int8,                            primg/atomic/div/int8,                            268435456,    1185 ms,      1314 ms,      0.9021
primd/atomic/div/uint8,                           primg/atomic/div/uint8,                           268435456,    1213 ms,      1293 ms,      0.9382
primd/atomic/div/int16,                           primg/atomic/div/int16,                           268435456,    1166 ms,      1180 ms,      0.9885
primd/atomic/div/uint16,                          primg/atomic/div/uint16,                          268435456,    1319 ms,      1230 ms,      1.072
primd/atomic/div/int32,                           primg/atomic/div/int32,                           268435456,    1233 ms,      1177 ms,      1.0476
primd/atomic/div/uint32,                          primg/atomic/div/uint32,                          268435456,    1449 ms,      1503 ms,      0.9638
primd/atomic/div/int64,                           primg/atomic/div/int64,                           268435456,    2917 ms,      2911 ms,      1.0021
primd/atomic/div/uint64,                          primg/atomic/div/uint64,                          268435456,    2710 ms,      2634 ms,      1.0289
primd/atomic/div/float32,                         primg/atomic/div/float32,                         268435456,    667 ms,       584 ms,       1.1411
primd/atomic/div/float64,                         primg/atomic/div/float64,                         268435456,    1176 ms,      1242 ms,      0.9467
primd/atomic/mod/int8,                            primg/atomic/mod/int8,                            268435456,    1186 ms,      1168 ms,      1.0155
primd/atomic/mod/uint8,                           primg/atomic/mod/uint8,                           268435456,    1184 ms,      1258 ms,      0.9408
primd/atomic/mod/int16,                           primg/atomic/mod/int16,                           268435456,    1270 ms,      1295 ms,      0.9802
primd/atomic/mod/uint16,                          primg/atomic/mod/uint16,                          268435456,    1186 ms,      1191 ms,      0.9953
primd/atomic/mod/int32,                           primg/atomic/mod/int32,                           268435456,    1154 ms,      1163 ms,      0.992
primd/atomic/mod/uint32,                          primg/atomic/mod/uint32,                          268435456,    1452 ms,      1382 ms,      1.05
primd/atomic/mod/int64,                           primg/atomic/mod/int64,                           268435456,    2910 ms,      2964 ms,      0.9816
primd/atomic/mod/uint64,                          primg/atomic/mod/uint64,                          268435456,    2976 ms,      2976 ms,      0.9998
primd/atomic/mod/float32,                         primg/atomic/mod/float32,                         268435456,    7234 ms,      7145 ms,      1.0124
primd/atomic/mod/float64,                         primg/atomic/mod/float64,                         268435456,    6710 ms,      6571 ms,      1.0212
