LeftOp,RightOp,OpCount,LeftTime,RightTime,Ratio
dinx/fused/and/Vec256[int8],                      ginx/fused/and/Vec256[int8],                      4294967296,   576 ms,       553 ms,       1.0408
dinx/fused/add/Vec256[int8],                      ginx/fused/add/Vec256[int8],                      4294967296,   569 ms,       567 ms,       1.0034
dinx/fused/sub/Vec256[int8],                      ginx/fused/sub/Vec256[int8],                      4294967296,   581 ms,       603 ms,       0.9625
dinx/fused/xor/Vec256[int8],                      ginx/fused/xor/Vec256[int8],                      4294967296,   563 ms,       658 ms,       0.856
dinx/fused/and/Vec256[int32],                     ginx/fused/and/Vec256[int32],                     1073741824,   535 ms,       558 ms,       0.9583
dinx/fused/add/Vec256[int32],                     ginx/fused/add/Vec256[int32],                     1073741824,   552 ms,       550 ms,       1.0021
dinx/fused/sub/Vec256[int32],                     ginx/fused/sub/Vec256[int32],                     1073741824,   568 ms,       566 ms,       1.0048
dinx/fused/xor/Vec256[int32],                     ginx/fused/xor/Vec256[int32],                     1073741824,   494 ms,       528 ms,       0.9361
dinx/fused/and/Vec256[int64],                     ginx/fused/and/Vec256[int64],                     536870912,    508 ms,       517 ms,       0.9834
dinx/fused/add/Vec256[int64],                     ginx/fused/add/Vec256[int64],                     536870912,    473 ms,       552 ms,       0.8568
dinx/fused/sub/Vec256[int64],                     ginx/fused/sub/Vec256[int64],                     536870912,    463 ms,       535 ms,       0.8654
dinx/fused/xor/Vec256[int64],                     ginx/fused/xor/Vec256[int64],                     536870912,    469 ms,       483 ms,       0.9729
dinx/fused/and/Vec256[float32],                   ginx/fused/and/Vec256[float32],                   1073741824,   487 ms,       487 ms,       0.9982
dinx/fused/add/Vec256[float32],                   ginx/fused/add/Vec256[float32],                   1073741824,   472 ms,       504 ms,       0.9355
dinx/fused/sub/Vec256[float32],                   ginx/fused/sub/Vec256[float32],                   1073741824,   542 ms,       460 ms,       1.1766
dinx/fused/xor/Vec256[float32],                   ginx/fused/xor/Vec256[float32],                   1073741824,   537 ms,       511 ms,       1.0506
dinx/fused/and/Vec256[float64],                   ginx/fused/and/Vec256[float64],                   536870912,    472 ms,       535 ms,       0.8817
dinx/fused/add/Vec256[float64],                   ginx/fused/add/Vec256[float64],                   536870912,    478 ms,       486 ms,       0.9816
dinx/fused/sub/Vec256[float64],                   ginx/fused/sub/Vec256[float64],                   536870912,    485 ms,       515 ms,       0.9417
dinx/fused/xor/Vec256[float64],                   ginx/fused/xor/Vec256[float64],                   536870912,    503 ms,       492 ms,       1.0219
