; Derived from xed-regs.txt; see license

| name       | class     | width | enclosure | regid | alt-name |
| R10        | gpr       | 64    | R10       | 10    |          |
| R10D       | gpr       | 32    | R10       | 10    |          |
| R10W       | gpr       | 16    | R10D      | 10    |          |
| R10B       | gpr       | 8     | R10W      | 10    |          |
| R11        | gpr       | 64    | R11       | 11    |          |
| R11D       | gpr       | 32    | R11       | 11    |          |
| R11W       | gpr       | 16    | R11D      | 11    |          |
| R11B       | gpr       | 8     | R11W      | 11    |          |
| R12        | gpr       | 64    | R12       | 12    |          |
| R12D       | gpr       | 32    | R12       | 12    |          |
| R12W       | gpr       | 16    | R12D      | 12    |          |
| R12B       | gpr       | 8     | R12W      | 12    |          |
| R13        | gpr       | 64    | R13       | 13    |          |
| R13D       | gpr       | 32    | R13       | 13    |          |
| R13W       | gpr       | 16    | R13D      | 13    |          |
| R13B       | gpr       | 8     | R13W      | 13    |          |
| R14        | gpr       | 64    | R14       | 14    |          |
| R14D       | gpr       | 32    | R14       | 14    |          |
| R14W       | gpr       | 16    | R14D      | 14    |          |
| R14B       | gpr       | 8     | R14W      | 14    |          |
| R15        | gpr       | 64    | R15       | 15    |          |
| R15D       | gpr       | 32    | R15       | 15    |          |
| R15W       | gpr       | 16    | R15D      | 15    |          |
| R15B       | gpr       | 8     | R15W      | 15    |          |
| MMX0       | mmx       | 64    | MMX0      | 0     | mm0      |
| MMX1       | mmx       | 64    | MMX1      | 1     | mm1      |
| MMX2       | mmx       | 64    | MMX2      | 2     | mm2      |
| MMX3       | mmx       | 64    | MMX3      | 3     | mm3      |
| MMX4       | mmx       | 64    | MMX4      | 4     | mm4      |
| MMX5       | mmx       | 64    | MMX5      | 5     | mm5      |
| MMX6       | mmx       | 64    | MMX6      | 6     | mm6      |
| MMX7       | mmx       | 64    | MMX7      | 7     | mm7      |
| XMM0       | xmm       | 128   | XMM0      | 0     |          |
| XMM1       | xmm       | 128   | XMM1      | 1     |          |
| XMM2       | xmm       | 128   | XMM2      | 2     |          |
| XMM3       | xmm       | 128   | XMM3      | 3     |          |
| XMM4       | xmm       | 128   | XMM4      | 4     |          |
| XMM5       | xmm       | 128   | XMM5      | 5     |          |
| XMM6       | xmm       | 128   | XMM6      | 6     |          |
| XMM7       | xmm       | 128   | XMM7      | 7     |          |
| XMM8       | xmm       | 128   | XMM8      | 8     |          |
| XMM9       | xmm       | 128   | XMM9      | 9     |          |
| XMM10      | xmm       | 128   | XMM10     | 10    |          |
